Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Labels
Epi c,Track X — External dependencies,Unblock everything that depends on a third party. None of this is code; all of it is slow.,External Dependencies,,,Highest,X
Story,[X-1] Obtain D-U-N-S number for the legal entity,Done when: D-U-N-S number issued and recorded,,External Dependencies,2,Highest,X
Story,[X-2] Enrol in Apple Developer Program,"Done when: Enrolment approved and App Store Connect accessible

Depends on: X-1",,External Dependencies,3,Highest,X
Story,[X-3] Enrol in Google Play Console,Done when: Console access granted and developer profile complete,,External Dependencies,2,Highest,X
Story,[X-4] Brief legal adviser on retention period and verification documents,Done when: Written answers received for Docs 05 §3.1 and Docs 04 §3,,External Dependencies,3,Highest,X
Story,[X-5] Choose the pilot metropolitan area,Done when: Metro area named and recorded in Docs 01 §8,,External Dependencies,2,Highest,X
Story,[X-6] Decide whether proof-exception jobs may auto-complete,Done when: Decision recorded in Docs 02 §7,,External Dependencies,1,Highest,X
Story,[X-7] Publish privacy policy at a public URL,"Done when: Policy live at a stable URL reachable without authentication

Depends on: X-4",,External Dependencies,5,Highest,X
Story,[X-8] Draft customer terms of use and provider agreement,"Done when: Both documents approved by the legal adviser

Depends on: X-4",,External Dependencies,5,Highest,X
Story,[X-9] Finalise the prohibited-goods list,"Done when: Category list approved and ready to load as reference data

Depends on: X-4",,External Dependencies,3,Highest,X
Epic,M0 — Foundation,"The stack runs locally, CI is green, and a signed build reaches a real device.",Foundation,,,Highest,M0
Story,[SHIP-1] Create monorepo directory structure,"Done when: apps/mobile, apps/admin, apps/driver-portal, services/core, deploy/ exist and are committed",,Foundation,1,Highest,M0
Story,[SHIP-2] Add PostgreSQL to docker-compose,"Done when: docker compose up starts Postgres and psql connects from the host

Depends on: SHIP-1",,Foundation,2,Highest,M0
Story,[SHIP-3] Add Redis to docker-compose,"Done when: redis-cli ping returns PONG from the host

Depends on: SHIP-2",,Foundation,1,Highest,M0
